barrier_id,label,category,job_id,keco_code,job_name,one_liner,초안_판정,판정_이유,검수_판정(추천에서 뺌 / 그대로 추천),검수_의견,reviewer,reviewed_at,2차_우선순위,검수2_판정(동의 / 추천에서 뺌 / 그대로 추천),검수2_의견,reviewer2,reviewed_at2
lift_heavy,무거운 것 드는 일,body,36,,상품기획자,어떤 상품을 만들고 팔지 아이디어를 정리하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
lift_heavy,무거운 것 드는 일,body,49,,총무사무원,사무실 물품과 서류를 관리하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
lift_heavy,무거운 것 드는 일,body,52,,경리사무원,회사의 돈이 들어오고 나가는 내역을 정리하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
lift_heavy,무거운 것 드는 일,body,59,,물류사무원,창고에 들어오고 나가는 물건 수량을 컴퓨터로 관리하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
lift_heavy,무거운 것 드는 일,body,60,,생산관리사무원,공장에서 물건이 잘 만들어지는지 기록하고 관리하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
lift_heavy,무거운 것 드는 일,body,61,,품질관리사무원,만들어진 제품에 문제가 없는지 확인하고 기록하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
lift_heavy,무거운 것 드는 일,body,62,,안내 및 접수사무원,방문한 사람을 맞이하고 접수를 도와주는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
lift_heavy,무거운 것 드는 일,body,63,,고객상담원,전화나 창구에서 손님의 문의에 답해주는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
lift_heavy,무거운 것 드는 일,body,67,,전산자료입력원 및 사무보조원,서류를 정리하고 컴퓨터에 자료를 입력하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
lift_heavy,무거운 것 드는 일,body,71,,취업알선원,일자리를 찾는 사람에게 알맞은 일자리를 안내하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
lift_heavy,무거운 것 드는 일,body,335,,경비원,건물이나 시설을 지키고 출입을 확인하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
lift_heavy,무거운 것 드는 일,body,336,,요양보호사 및 간병인,어르신이나 환자를 돌보고 일상생활을 도와드리는 일,추천에서 뺌,이동 보조·체위 변경으로 사람을 드는 동작이 필수,,,김규헌,2026-08-13,확인 · 초안 제외를 1차가 승인,,,,
lift_heavy,무거운 것 드는 일,body,337,,육아도우미,아이를 돌보고 함께 시간을 보내는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
lift_heavy,무거운 것 드는 일,body,338,,청소원,건물 안을 청소하고 정리하는 일,그대로 추천(경계),청소 도구·쓰레기 운반은 있으나 부수적,그대로 추천,,김규헌,2026-08-13,확인 · 경계 판정,,,,
lift_heavy,무거운 것 드는 일,body,339,,환경미화원 및 재활용품수거원,거리나 공공시설을 청소하고 재활용품을 모으는 일,추천에서 뺌,재활용품·쓰레기 수거 운반이 핵심 업무,,,김규헌,2026-08-13,확인 · 초안 제외를 1차가 승인,,,,
lift_heavy,무거운 것 드는 일,body,341,,세탁원(다림질원),세탁물을 세탁하고 다림질해서 정리하는 일,그대로 추천(경계),"젖은 세탁물 취급 무게 — 사업장별로 갈림, 검수 필요",그대로 추천,,김규헌,2026-08-13,확인 · 경계 판정,,,,
lift_heavy,무거운 것 드는 일,body,344,,주차관리·안내원,주차장을 안내하고 관리하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
lift_heavy,무거운 것 드는 일,body,367,,한식조리사,식당이나 급식소에서 한식을 만드는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
lift_heavy,무거운 것 드는 일,body,374,,홀서빙원,식당에서 주문을 받고 음식을 가져다 드리는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
lift_heavy,무거운 것 드는 일,body,375,,주방보조원,식당 주방에서 재료를 다듬고 설거지를 돕는 일,그대로 추천(경계),식자재 운반은 있으나 조리 보조가 핵심,그대로 추천,,김규헌,2026-08-13,확인 · 경계 판정,,,,
lift_heavy,무거운 것 드는 일,body,385,,상점판매원,매장에서 손님에게 물건을 안내하고 판매하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
lift_heavy,무거운 것 드는 일,body,392,,매장계산원 및 요금정산원,마트나 매장에서 물건 값을 계산해주는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
lift_heavy,무거운 것 드는 일,body,408,,택배원,차로 물건을 받는 사람에게 배달하는 일,추천에서 뺌,택배 상자 반복 하차·운반이 핵심 업무,,,김규헌,2026-08-13,확인 · 초안 제외를 1차가 승인,,,,
lift_heavy,무거운 것 드는 일,body,412,,하역·적재종사원,창고에서 물건을 싣고 내리는 일,추천에서 뺌,창고 중량물 상하차가 업무의 전부,,,김규헌,2026-08-13,확인 · 초안 제외를 1차가 승인,,,,
lift_heavy,무거운 것 드는 일,body,458,,주입·포장·상표부착기계조작원,제품을 상자에 담고 상표를 붙이는 일,그대로 추천(경계),"포장물 대부분 경량, 라인 자동화 여부에 따라 갈림",그대로 추천,,김규헌,2026-08-13,확인 · 경계 판정,,,,
lift_heavy,무거운 것 드는 일,body,477,,일반기계조립원,제품의 부품을 순서대로 조립하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
lift_heavy,무거운 것 드는 일,body,500,,전기·전자설비조작원,건물의 전기·설비가 잘 작동하는지 점검하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
stand_long,오래 서 있는 일,body,36,,상품기획자,어떤 상품을 만들고 팔지 아이디어를 정리하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
stand_long,오래 서 있는 일,body,49,,총무사무원,사무실 물품과 서류를 관리하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
stand_long,오래 서 있는 일,body,52,,경리사무원,회사의 돈이 들어오고 나가는 내역을 정리하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
stand_long,오래 서 있는 일,body,59,,물류사무원,창고에 들어오고 나가는 물건 수량을 컴퓨터로 관리하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
stand_long,오래 서 있는 일,body,60,,생산관리사무원,공장에서 물건이 잘 만들어지는지 기록하고 관리하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
stand_long,오래 서 있는 일,body,61,,품질관리사무원,만들어진 제품에 문제가 없는지 확인하고 기록하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
stand_long,오래 서 있는 일,body,62,,안내 및 접수사무원,방문한 사람을 맞이하고 접수를 도와주는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
stand_long,오래 서 있는 일,body,63,,고객상담원,전화나 창구에서 손님의 문의에 답해주는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
stand_long,오래 서 있는 일,body,67,,전산자료입력원 및 사무보조원,서류를 정리하고 컴퓨터에 자료를 입력하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
stand_long,오래 서 있는 일,body,71,,취업알선원,일자리를 찾는 사람에게 알맞은 일자리를 안내하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
stand_long,오래 서 있는 일,body,335,,경비원,건물이나 시설을 지키고 출입을 확인하는 일,그대로 추천(경계),초소 착석 근무가 가능한 현장이 다수 — 기존 시드는 제외했으나 유지 판정,추천에서 뺌,초소에 앉아서 근무할 수 있으나 지속기간이 길지않음 결국 핵심은 일어나서 근무하는 것임.,김규헌,2026-08-13,우선 · 1차에서 뒤집음,,,,
stand_long,오래 서 있는 일,body,336,,요양보호사 및 간병인,어르신이나 환자를 돌보고 일상생활을 도와드리는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
stand_long,오래 서 있는 일,body,337,,육아도우미,아이를 돌보고 함께 시간을 보내는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
stand_long,오래 서 있는 일,body,338,,청소원,건물 안을 청소하고 정리하는 일,그대로 추천(경계),청소는 기립·이동 중심이나 좌식 구간(사무실 정리 등)이 있음 — 검수 필요,추천에서 뺌,일하는 대부분의 시간을 서있음,김규헌,2026-08-13,우선 · 1차에서 뒤집음,,,,
stand_long,오래 서 있는 일,body,339,,환경미화원 및 재활용품수거원,거리나 공공시설을 청소하고 재활용품을 모으는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
stand_long,오래 서 있는 일,body,341,,세탁원(다림질원),세탁물을 세탁하고 다림질해서 정리하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
stand_long,오래 서 있는 일,body,344,,주차관리·안내원,주차장을 안내하고 관리하는 일,추천에서 뺌,주차 유도·안내가 기립 및 옥외 근무,,,김규헌,2026-08-13,확인 · 초안 제외를 1차가 승인,,,,
stand_long,오래 서 있는 일,body,367,,한식조리사,식당이나 급식소에서 한식을 만드는 일,추천에서 뺌,조리 전 과정이 기립 작업,,,김규헌,2026-08-13,확인 · 초안 제외를 1차가 승인,,,,
stand_long,오래 서 있는 일,body,374,,홀서빙원,식당에서 주문을 받고 음식을 가져다 드리는 일,추천에서 뺌,홀 이동·대기가 근무 시간 내내 이어짐,,,김규헌,2026-08-13,확인 · 초안 제외를 1차가 승인,,,,
stand_long,오래 서 있는 일,body,375,,주방보조원,식당 주방에서 재료를 다듬고 설거지를 돕는 일,추천에서 뺌,주방 작업대 기립이 근무 시간 내내 이어짐,,,김규헌,2026-08-13,확인 · 초안 제외를 1차가 승인,,,,
stand_long,오래 서 있는 일,body,385,,상점판매원,매장에서 손님에게 물건을 안내하고 판매하는 일,추천에서 뺌,매장 내 기립·응대가 업무 조건,,,김규헌,2026-08-13,확인 · 초안 제외를 1차가 승인,,,,
stand_long,오래 서 있는 일,body,392,,매장계산원 및 요금정산원,마트나 매장에서 물건 값을 계산해주는 일,추천에서 뺌,계산대 기립 근무가 업무 조건,,,김규헌,2026-08-13,확인 · 초안 제외를 1차가 승인,,,,
stand_long,오래 서 있는 일,body,408,,택배원,차로 물건을 받는 사람에게 배달하는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
stand_long,오래 서 있는 일,body,412,,하역·적재종사원,창고에서 물건을 싣고 내리는 일,그대로 추천,,,,김규헌,2026-08-13,,,,,
