keco_code,keco_name,major_category
0111,의회 의원,경영·사무·금융·보험직
0112,고위 공무원 및 정당ㆍ특수 단체 임원,경영·사무·금융·보험직
0113,기업 대표 및 기업 고위 임원,경영·사무·금융·보험직
0121,정부 행정 관리자,경영·사무·금융·보험직
0122,경영 지원 관리자,경영·사무·금융·보험직
0123,마케팅 및 광고ㆍ홍보 관리자,경영·사무·금융·보험직
0124,금융 및 보험 관리자,경영·사무·금융·보험직
0131,연구 관리자,경영·사무·금융·보험직
0132,교육 관리자,경영·사무·금융·보험직
0133,법률ㆍ경찰ㆍ소방 및 교도 관리자,경영·사무·금융·보험직
0134,보건 의료 관련 관리자,경영·사무·금융·보험직
0135,사회복지 관련 관리자,경영·사무·금융·보험직
0136,문화ㆍ예술 관련 관리자,경영·사무·금융·보험직
0137,정보 통신 관련 관리자,경영·사무·금융·보험직
0139,기타 전문 서비스 관리자,경영·사무·금융·보험직
0141,숙박ㆍ여행ㆍ오락 및 스포츠 관련 관리자,경영·사무·금융·보험직
0151,영업 및 판매 관련 관리자,경영·사무·금융·보험직
0152,운송 관련 관리자,경영·사무·금융·보험직
0159,기타 판매 및 고객 서비스 관리자,경영·사무·금융·보험직
0161,건설 및 광업 관련 관리자,경영·사무·금융·보험직
0162,전기ㆍ가스 및 수도 관련 관리자,경영·사무·금융·보험직
0163,제품 생산 관련 관리자,경영·사무·금융·보험직
0169,기타 건설ㆍ전기 및 생산 관련 관리자,경영·사무·금융·보험직
0211,정부 행정 전문가,경영·사무·금융·보험직
0212,행정사,경영·사무·금융·보험직
0221,경영 및 진단 전문가,경영·사무·금융·보험직
0222,인사 및 노사 관련 전문가,경영·사무·금융·보험직
0231,회계사,경영·사무·금융·보험직
0232,세무사,경영·사무·금융·보험직
0233,관세사,경영·사무·금융·보험직
0241,광고 및 홍보 전문가,경영·사무·금융·보험직
0242,조사 전문가,경영·사무·금융·보험직
0243,상품 기획 전문가,경영·사무·금융·보험직
0244,행사ㆍ전시 및 회의 기획자,경영·사무·금융·보험직
0251,조세 행정 사무원,경영·사무·금융·보험직
0252,관세 행정 사무원,경영·사무·금융·보험직
0253,병무 행정 사무원,경영·사무·금융·보험직
0259,기타 정부 행정 사무원,경영·사무·금융·보험직
0261,경영 기획 사무원,경영·사무·금융·보험직
0262,영업 및 마케팅 사무원,경영·사무·금융·보험직
0263,인사 및 노무 사무원,경영·사무·금융·보험직
0264,교육 및 훈련 사무원,경영·사무·금융·보험직
0265,총무 사무원 및 대학 행정조교,경영·사무·금융·보험직
0266,감사 사무원,경영·사무·금융·보험직
0271,회계 사무원,경영·사무·금융·보험직
0281,무역 사무원,경영·사무·금융·보험직
0282,도로 및 철도운송 사무원,경영·사무·금융·보험직
0283,수상 및 항공운송 사무원,경영·사무·금융·보험직
0284,자재관리 사무원,경영·사무·금융·보험직
0285,생산 및 품질관리 사무원,경영·사무·금융·보험직
0289,기타 운송 및 무역 사무원,경영·사무·금융·보험직
0291,안내ㆍ접수원 및 전화교환원,경영·사무·금융·보험직
0292,고객 상담 및 모니터 요원,경영·사무·금융·보험직
0293,통계ㆍ데이터 관련 사무원,경영·사무·금융·보험직
0294,비서,경영·사무·금융·보험직
0295,전산 자료 입력원,경영·사무·금융·보험직
0296,속기사,경영·사무·금융·보험직
0297,자원봉사 관리원,경영·사무·금융·보험직
0299,기타 사무 지원 종사원,경영·사무·금융·보험직
0311,투자 및 신용 분석가,경영·사무·금융·보험직
0312,자산 운용가,경영·사무·금융·보험직
0313,금융 및 보험 상품 개발자,경영·사무·금융·보험직
0314,증권 및 외환 딜러,경영·사무·금융·보험직
0315,손해 사정사,경영·사무·금융·보험직
0319,기타 금융 및 보험 관련 전문가,경영·사무·금융·보험직
